brand,category,age_months,original_price,condition_score,condition_label,ram_gb,storage_gb,has_original_box,num_repairs,resale_price
Asus,laptop,14,53200.0,10,poor,16,1024,0,0,39864.04
HP,laptop,18,61000.0,24,poor,32,256,1,1,42441.25
OnePlus,phone,56,65300.0,56,good,12,512,0,0,30137.43
Apple,laptop,55,89900.0,28,fair,32,512,1,0,41208.75
Apple,laptop,48,83300.0,30,fair,64,1024,1,0,42475.28
Asus,laptop,42,122300.0,45,fair,32,256,1,0,69399.95
Samsung,phone,52,20600.0,12,poor,8,128,1,0,9173.8
HP,laptop,50,78100.0,88,new,16,512,1,1,43621.71
HP,laptop,47,60600.0,94,new,4,512,1,0,37561.09
OnePlus,phone,53,64900.0,41,fair,32,256,1,0,30490.78
Dell,laptop,59,83600.0,28,fair,32,1024,0,0,33064.65
Apple,phone,19,98600.0,14,poor,6,128,1,0,66771.11
HP,laptop,48,94600.0,6,poor,16,1024,1,0,45039.46
Acer,laptop,46,84700.0,42,fair,16,1024,1,0,47072.89
OnePlus,phone,41,27600.0,89,new,8,256,1,2,17830.76
MSI,laptop,23,196900.0,45,fair,8,1024,1,1,138524.73
Acer,laptop,4,51500.0,71,excellent,64,256,0,1,48830.81
Apple,laptop,14,167000.0,94,new,32,256,1,0,153511.49
Apple,laptop,40,127000.0,74,excellent,32,256,1,0,84700.18
HP,laptop,26,109600.0,37,fair,16,1024,0,1,68051.73
Xiaomi,phone,20,24500.0,52,good,16,512,1,0,20048.53
Realme,phone,34,10100.0,69,excellent,6,256,1,0,7232.84
Apple,phone,59,112500.0,14,poor,6,256,1,0,45065.66
Xiaomi,phone,49,22800.0,25,poor,4,64,0,1,10270.19
Acer,laptop,20,74600.0,90,new,4,512,1,0,62749.46
Vivo,phone,53,38100.0,58,good,32,128,0,0,19237.41
Samsung,phone,55,55500.0,56,good,6,256,0,0,26681.49
Acer,laptop,7,68100.0,95,new,64,256,0,0,67258.29
MSI,laptop,4,107400.0,55,good,64,1024,1,0,104684.72
Asus,laptop,22,106100.0,42,fair,32,1024,1,0,82747.53
Realme,phone,6,14300.0,22,poor,16,256,1,0,12042.42
HP,laptop,6,102000.0,82,excellent,4,1024,0,0,99532.06
Apple,laptop,18,139700.0,29,fair,16,512,0,1,97250.49
MSI,laptop,23,135000.0,41,fair,8,1024,1,0,103933.94
Apple,phone,7,112800.0,43,fair,6,128,0,0,96043.99
MSI,laptop,60,125500.0,33,fair,16,1024,0,0,50357.18
Realme,phone,29,31500.0,80,excellent,4,64,1,0,24659.41
